Ceramic Name,Part,Na2O,MgO,Al2O3,SiO2,K2O
DY-BS-4-b,Body,0.43,0.47,20.67,70.07,5.27
DY-BS-5-b,Body,0.28,0.22,20.89,70.77,4.79
DY-BS-6-b,Body,0.25,0.49,20.79,69.92,5.37
DY-BS-7-b,Body,0.16,0.34,23.77,66.31,6.05
DY-NS-1-b,Body,0.03,0.36,25.13,64.58,6.56
DY-NS-2-b,Body,0.24,0.55,22.81,66.31,5.59
DY-NS-3-b,Body,0.29,0.33,23.49,67.94,4.46
DY-NS-4-b,Body,0.45,0.46,25.8,64.42,4.57
DY-NS-5-b,Body,0.29,0.23,22.26,68.93,4.19
DY-NS-6-b,Body,0.41,0.25,19.48,71.97,5.03
DY-NS-7-b,Body,0.34,0.47,22.48,67.8,5.45
DY-NS-8-b,Body,0.71,0.25,19.49,70.85,5.43
DY-Y-1-b,Body,0.3,0.37,25,65.09,6.17
DY-Y-2-b,Body,0.5,0.32,25.15,65.37,5.34
DY-Y-3-b,Body,0.31,0.41,22.77,67.75,4.5
DY-Y-4-b,Body,0.2,0.49,24.07,66.18,4.66
DY-Y-5-b,Body,0.26,0.32,26.48,63.88,5.62
DY-Y-6-b,Body,0.86,0.19,21.54,68.95,5.59
DY-Y-7-b,Body,0.17,0.53,21.4,71.02,2.73
DY-Y-8-b,Body,0.32,0.22,22.34,68.86,5.28
DY-Y-9-b,Body,0.39,0.35,23.2,66.4,6.25
DY-M-1-b,Body,0.18,0.18,23.25,67.86,5.37
DY-M-2-b,Body,0.42,0.18,22.09,69.03,5.17
DY-M-3-b,Body,0.29,0.21,24.35,65.43,6.07
DY-QC-1-b,Body,0.55,0.27,21.58,69.91,4.61
DY-QC-2-b,Body,0.64,0.19,21.31,69.34,4.9
DY-QC-3-b,Body,0.14,0.27,24.01,66.7,5.47
DY-QC-4-b,Body,0.31,0.28,23.23,67.08,5.63
FLQ-1-g,Glaze,0.97,0.07,11.42,74.41,5.7
FLQ-2-g,Glaze,1.46,0.47,12.96,68.79,4.85
FLQ-3-g,Glaze,1.05,0.23,13.64,69.9,4.46
FLQ-4-g,Glaze,0.14,0.41,12.42,67.24,4.29
FLQ-5-g,Glaze,0.37,1.03,13.15,68.98,5.58
FLQ-6-g,Glaze,1.09,0.5,13.47,68.51,5.97
FLQ-7-g,Glaze,1.16,0.58,13.83,71.37,5.14
FLQ-8-g,Glaze,1.01,0.1,11.84,71.13,3.84
FLQ-9-g,Glaze,1.88,0.58,12.95,67.58,2.98
FLQ-10-g,Glaze,0.73,0.25,13,71.01,5.78
FLQ-11-g,Glaze,0.68,0.27,12.74,71.93,6.16
FLQ-12-g,Glaze,1.29,0.32,12.83,68.81,5.8
FLQ-13-g,Glaze,1.27,0.54,13.01,73.11,5.46
DY-BS-1-g,Glaze,0.28,0.52,14.76,68.65,3.63
DY-BS-2-g,Glaze,0.34,0.97,13.76,65.53,3.57
DY-BS-3-g,Glaze,0.5,0.66,11.3,69.9,3.88
DY-BS-4-g,Glaze,0.51,0.4,13.54,71.35,4.14
DY-BS-5-g,Glaze,0.14,0.5,14.15,68.91,5.1
DY-BS-6-g,Glaze,0.38,1.04,12.37,67.7,3.89
DY-BS-7-g,Glaze,0.25,0.47,14.09,68.46,4.71
DY-NS-1-g,Glaze,0.2,0.53,12.83,72.24,5.03
DY-NS-2-g,Glaze,0.19,0.57,13.61,70.06,4.7
DY-NS-3-g,Glaze,0.69,0.35,13.86,71.38,4.94
DY-NS-4-g,Glaze,0.65,0.78,13.81,70.37,5.91
DY-NS-5-g,Glaze,0.03,1.01,13.05,72.28,5.56
DY-NS-6-g,Glaze,0.61,0.35,12.73,71.6,5.79
DY-NS-7-g,Glaze,0.03,0.54,13.97,67.3,3.56
DY-NS-8-g,Glaze,0.31,0.53,14.63,68.22,3.6
DY-Y-1-g,Glaze,0.25,0.5,12.93,71.59,5.5
DY-Y-2-g,Glaze,0.11,0.32,11.33,75.95,5.87
DY-Y-3-g,Glaze,0.24,0.39,12.64,74.08,5.11
